帕莎蒂娜驳二仓库餐厅 & 帕莎蒂娜烘焙坊,地址:高雄市盐埕区大勇路1号 ,5311106
旧振南饼店,地址:高雄市前金区中正四路84号 ,+886-7-2888202
正忠排骨饭,地址:新興區七賢二路109號,
大心新泰式面食,地址:左营区博爱二路777号b1 ,7-550-2028
艺奇新日本料理,地址:前镇区中华五路789号7楼 ,8230988
桦达奶茶,地址:苓雅区三多四路21号11楼（大远百货） ,7-5512151
老江红茶牛奶,地址:苓雅区三多三路214-3号 ,3358258
牛老大涮牛肉,地址:高雄市前金区自强二路18号,
周氏虾卷,地址:高雄市苓雅区三多四路21号 ,+886-5362964
桦达奶茶,地址:高雄市盐埕区新乐街99号 ,5512151
春水堂人文茶馆,地址:高雄市前镇区中华五路789号 ,9700832
兴隆居传统早点美食,地址:高雄市新兴区复兴一路25号 ,2812886
丹丹汉堡,地址:鼓山区临海二路24号 ,5330573
驿站食堂,地址:高雄市三民区天津街2号 ,3219986
悦品中餐厅,地址:新兴区林森一路165号3楼 ,7-5362999
老牌白糖粿,地址:苓雅区苓雅二路与自强三路交叉口 ,0930575111
顺亿鲔鱼专卖店,地址:高雄市苓雅区三多三路260号 ,3339878
轻井泽,地址:高雄市鼓山区博爱二路337号 ,5500890
南北楼中餐厅,地址:前镇区林森三路18号 ,+886-7-3366089
金城鸭肉,地址:前金区五福三路62号 ,2415419
吴妈妈鸡爪冻,地址:台湾高雄市新兴区六合二路 ,+886-7-9533755555
屋莎鬆餅屋,地址:三多四路21號,
沐川咖哩,地址:新兴区南华路123号 ,2361121
瓦城,地址:高雄市前镇区中华五路789号B1 ,8120776
香味海产粥．脆皮臭豆腐,地址:新兴区七贤一路7号 ,2255302
50岚,地址:高雄市苓雅区三多四路75号,
老蔡虱目鱼粥,地址:盐埕区濑南街201号 ,5519689
冒烟的乔美式墨西哥餐厅,地址:五福四路91號(在鹽埕埔捷運站2號出口) ,5210987
老李排骨汤,地址:新兴区大同一路149号 ,2919721
维格饼家,地址:高雄市三民区同协路199号 ,3216666
不一样赤肉羹,地址:旗津庙前路56号 ,929369631
碳佐麻里精品烧肉,地址:806台湾高雄市前鎮區南一路85號 ,+886-7-5371333
旗津万三小吃部,地址:高雄市旗津区中洲二路162号 ,5716073
正忠排骨饭,地址:高雄市新兴区六合一路57号 ,2351968
茶六,地址:高雄市左營區博愛二路238號 ,+88675566656
蚵仔煎,地址:高雄市三民区吉林街147号 ,+886-7-3154490
邓师傅功夫菜,地址:高雄市新兴区中正三路82号 ,2361822
阿Q冻圆,地址:苓雅区自强三路107号 ,3312416
四海豆浆,地址:高雄市新兴区六合一路161号 ,2361417
古早味豆花,地址:新兴区六合二路摊贩<螃蟹家族门口>,
新马辣经典麻辣锅,地址:前鎮區中華五路789號6樓 ,+886-7-8124675
庄记海产粥,地址:高雄市新兴区六合二路89号 ,2872223
老董牛肉面,地址:苓雅区自强三路162号 ,07-269-6335
八坂丼屋,地址:苓雅区三多四路21号11楼 ,3380255
廖师傅泰国虾,地址:自立一路与六合二路交汇处六合夜市入口第一家,
烤肉之家,地址:高雄市新兴区六合二路六合夜市第40号摊位 ,2611112
东京酒场,地址:高雄市前金区五福三路152号 ,2820818
三牛牛肉面,地址:高铁路115号4楼,
金圣春活海产,地址:中州巷,
三代春捲,地址:新兴区中山横路1号 ,2858490
斑鸠的窝,地址:苓雅区三多四路29号 ,3326015
丹丹汉堡,地址:新兴区七贤二路224号 ,2410928
田记豆浆,地址:盐埕区新乐街75-3号 ,5512136
鲜奶麻糬,地址:左营区南屏路、裕诚路口瑞丰夜市 ,+886-7-917955900
老爷面线,地址:前金区明星街 ,2860028
大沟顶阿啰哈卤味,地址:高雄市新兴区林森一路12号 ,2821778
六合鲜水果,地址:高雄市新兴区六合二路六合夜市内,
不二緻果,地址:813台湾高雄市左營區高鐵路105號,
红毛港海鲜餐厅,地址:高雄市苓雅区三多三路214号 ,3353606
高雄牛乳大王,地址:前金区中华三路65之5号 ,2823636
婆婆冰店,地址:七贤三路98-12号 ,5616695
東暘烘焙屋,地址:新興區中山一路181號 ,+886-72852621
聚北海道昆布锅,地址:前镇区中华五路789号7楼 ,8230138
干杯烧肉居酒屋,地址:五福二路262號 ,2150555
七美望安,地址:苓雅区海边路75号 ,2819854
成台湾-虱目鱼专卖店,地址:新興區林森一路242號,
汉来蔬食,地址:大树区统领路1号1楼,
县爷土鸡城,地址:新兴区七贤一路470号 ,2380788
贝壳情人,地址:鼓山区莲海路14号 ,5615103
老宋牛肉面,地址:盐埕区五福四路146号 ,5618522
阿国鹅肉,地址:高雄市三民区九如二路337号 ,3139426
幸福堂,地址:高雄市新兴区新田路168号,
永心凤茶,地址:高雄市中山二路404号,
屋顶餐酒屋,地址:左营区立文路51号,
万国牛排,地址:左营区南屏路、裕诚路口瑞丰夜市,
光华木瓜牛奶大王,地址:高雄市苓雅区光华二路402号 ,7160469
天水玥秘境锅物殿,地址:高雄市左营区曾子路105号 ,3438188
冲绳酥炸大鱿鱼,地址:左营区南屏路、裕诚路口瑞丰夜市 ,938227996
鮨二七,地址:苓雅区永明街27号1楼 ,2119262
八坂丼屋,地址:高雄市左營區高鐵路115號3樓 ,+886-7-3109586
郭家肉粽,地址:803台湾高雄市鹽埕區北斗街26號,
八卦活海鲜,地址:鼓山区南屏路869号 ,5868999
老新台菜,地址:高雄市三民区九如二路227号 ,3133077
度小月,地址:高雄市新兴区六合二路27号 ,929808097
大碗公冰品,地址:高雄市旗津區府前路78號 ,+886-7-5718899
北泽寿喜烧,地址:苓雅区三多四路21号12楼,
新台湾原味,地址:高雄市鼓山区明诚三路1号 ,+886-7-5555418
星巴克,地址:大树区统岭路1号 ,6565037
50岚,地址:自强三路169号1楼 ,2693888
霸味姜母鸭,地址:高雄市新兴区民生一路21号 ,2237803
海忠宝活海产,地址:旗津区庙前路,
CAFFAINA COFFEE GALLERY 卡啡那,地址:高雄市三民区明诚二路243号 ,5562661
典藏驳二餐厅,地址:高雄市盐埕区大义街2号 ,5211936
50岚,地址:多家连锁店 ,25213570
春水堂人文茶馆,地址:和平一路138号1楼 ,2331436
漢來大飯店翠園粵菜餐廳,"地址:成功一路266號10樓 Cianjin District, 高雄市 801 Taiwan ",+886 7 2135737
夏慕尼新香榭铁板烧,地址:前金区五福三路29号 ,+886-7-2218169
鍾家高雄绿豆汤大王,地址:前金区青年二路160号 ,2711616
寒轩大饭店-茶苑餐厅,地址:苓雅区四维三路33号 ,3322000
Pier No.1酒吧,地址:高雄市新興區中山一路4號（Hotel Indigo RF層）,
吴宝春,地址:813台湾高雄市左營區博愛二路777號漢神巨蛋購物廣場B1B1F,
桦达奶茶,地址:813台灣高雄市左營區高鐵路123號B2,
双妃奶茶,地址:盐埕区新乐街173号 ,7-5218300
Q,地址:青海路111號 ,5505628
面屋武藏,地址:高雄市左营区站前北路1号3F ,5811112
台鋁 MLD Reading 書屋咖啡,地址:前鎮區忠勤路8號2樓 ,5365388
北港蔡三代米糕,地址:盐埕区河西路166号 ,5517443
丸浜日式手作霜淇淋,地址:高雄市鼓山区丽雄街27-1号 ,0916203223
旗后活海产,地址:高雄市旗津区庙前路31号 ,5715460
星巴克,地址:哨船头里哨船街,
添好运,地址:左營區博愛二路777號漢神巨蛋B1,
汉来蔬食,地址:高雄市左营区博爱二路777号5楼 ,5552882
瓦城泰国料理,地址:义大C区4楼,
老二腿库饭,地址:高雄市苓雅区兴中二路118号 ,925040508
刘易记牛肉刀削面,地址:苓雅区永康街71号 ,3337015
光头老板土魠鱼羹,地址:高雄市新兴区六合二路14号 ,+886-7-2855057
大圆环阿婆面,地址:新兴区中山横路1号 ,2853165
柏弘老店,地址:苓雅區青年一路167-2號 ,3322516
翁乡记潮州砂锅粥,地址:高雄市前金区六合二路143号 ,2887799
君鸿国际酒店38F铁板烧,地址:苓雅区自强三路1号38楼 ,5661176
粥老大,地址:前镇区一德路22號 ,3383966
广东汕头胜味火锅店,地址:高雄市盐埕区七贤三路65号 ,5511352
张记碳烤,地址:垦丁大街,
i River 爱河牛排海鲜自助餐厅-原高雄国宾 Market Cafe,地址:前金区民生二路 202 号,
胖胖蚵仔包,地址:高雄市新兴区六合二路,
红鼻子,地址:高雄市前金区自强三路215号,
蔡家乌鱼子,地址:高雄市苓雅区六合二路与自立二路交叉口(摊号132号) ,2872223
50岚,地址:博爱一路310号 ,3228632
阿荣海产,地址:鼓山区博爱二路339号 ,5500007
名人坊,地址:高雄汉来酒店12楼,
汕头泉成沙茶火锅,地址:新兴区中山横路7号 ,+886-7-2885599
GONG CHA,地址:盐埕区五福四路151-1号,
汉来大饭店-翠园餐厅,地址:左营区博爱二路767号9楼 ,5559168
正牌白糖粿,地址:前镇区兴中二路和自强一路路口,
50岚,地址:鼓山区临海二路41号,
赤鬼炙烧牛排,地址:左营区博爱二路316号 ,5568895
星巴克,地址:左营区高铁路105号2F ,8620622
冒烟的乔美式墨西哥餐厅,地址:新兴区忠孝一路208号 ,9685989
高雄国宾饭店粤菜厅,地址:前金区民生二路202号2楼 ,2151515
辉哥鱔鱼花枝面,地址:高雄市苓雅区光华二路438号 ,7168409
大胖碳烤三明治,地址:盐埕区大公路78号 ,5610262
郑老牌木瓜牛奶,地址:高雄市前镇区凯旋四路凯旋夜市内明诚路25号 ,0935283528
烧丼株式会社,地址:高雄市前镇区中华五路789号 ,8123258
金色三麦Le ble dor,地址:高雄市大树区学城路一段12号5F ,9758989
阿绵手工麻糬,地址:盐埕区新乐街198-27号 ,0982255796
好好味冰火菠萝油,地址:新兴区五福一路,
哈玛星黑旗鱼丸大王,地址:鼓山区鼓波街27之7号 ,5210948
芒果恰恰冰馆,地址:新兴区新田路128号 ,+886-2018666
阿进切仔面,地址:盐埕区濑南街148号 ,5211028
传统(王牌)豆花,地址:高雄市新兴区六合二路127号（六合二路、自立二路路口）,
翰品酒店-品日式料理,地址:盐埕区大仁路43号翰品酒店内 ,5614688转3232
太和殿,地址:中正二路101号 ,2291818
老牌周烧肉饭,地址:盐埕区七贤三路144号 ,5873170
关北红豆饼,地址:大树区统领路1号1楼,
全海岸活虾之家,地址:左营区博爱三路170号 ,3500727
铭邦港园牛肉面,地址:高雄市盐埕区五福四路53号 ,5618999
旗津庙后海产粥,地址:高雄市鼓山区捷兴二街33之1号 ,986343155
一风堂,地址:博爱二路777号B1楼,
石记臭豆腐,地址:高雄市左营区南屏路、裕诚路口瑞丰夜市第14排763号,
茶汤会,地址:新兴区林森一路178号 ,2117117
星巴克,地址:高雄小港国际机场,
大户屋,地址:高雄市苓雅区三多四路21号11F ,5370352
盛奕大腸包小腸,地址:高雄市新興區六合二路73號,
陈Q古早黑砂糖剉冰,地址:高雄市苓雅区五福一路147号 ,+886-7-2262986
品元糖口,地址:高雄市左营区重信路553号,
now & then by nybc,地址:盐埕区驳二艺术特区义仓库c9-19,
Cafe自然醒,地址:苓雅区中山二路463号 ,5366067
花月岚拉面,地址:前镇区中华五路789号B1 ,8115888
邓师傅,地址:高雄市小港区中山四路二号3F,
冬粉王,地址:七贤三路168号 ,5514349
Mita 米塔手感烘焙,地址:三多三路227號(高雄大远百货),
Ruth's Chris Steak House,地址:高雄市前金区中正四路211号25F之三 ,2418888
万二小吃部,地址:高雄市旗津区北汕巷50-60号,
阿婆冰,地址:高雄市盐埕区七贤三路150号 ,5513180
四季逗黑砂糖木瓜牛奶,地址:苓雅区自强路114号 ,07-335-6888
乐乐庵,地址:高雄市前镇区中华五路789号7楼,
喜八珈琲店 shiba caf'e,地址:新兴区南台路43巷21号 ,07-281-2875
simtree,地址:中正3路73号 ,+886-7-2157766
涮乃叶日式涮涮锅,地址:高雄前镇区中山四路100号三楼（大鲁阁店） ,791
大八大饭店-大八TOP自助餐,地址:左营区裕诚路486号 ,5569791
50岚,地址:高雄市前金区自强二路180号 ,2511770
50岚,地址:林泉街74号 ,7158576
老新台菜,地址:高雄市三民区十全三路265号,
东隆堂,地址:盐埕区大公路1号 ,75315678
旧市羊肉店,地址:冈山区河华路111号 ,6258151
朝山会馆,地址:大树区兴田路153号佛光山内 ,76561921-8100
陶板屋,地址:高雄市新兴区中山二路482号 ,2822225
小雅茶饮,地址:高雄市三民区热河一街204号 ,3111098
牛老大涮牛肉,地址:前金区自强二路104号 ,2720006
王拓日式碳火串烧,地址:凤山区瑞隆东路58号 ,7658101
好饕厨房,地址:高雄国际机场出境22登机口旁,
阿啰哈卤味,地址:大仁路158号旁（大沟顶） ,5616611
美浓客家菜,地址:小港机场宏平路462号 ,78060808
方师傅点心坊,地址:前镇区中华五路789号B1,
黑糖ㄉㄨㄞ奶,地址:高雄市左营区裕诚路和南屏路段瑞丰夜市内,
东山鸭头,地址:新兴区南台路66号,
苏阿嬷鸡蛋酥,地址:高雄市鼓山区滨海一路96号 ,+886-955972771
高雄义大皇冠假日饭店,地址:高雄市大树区学城路一段7号 ,4008825398
争鲜回转寿司,地址:苓雅区三多三路226号 ,3394287
桦达奶茶,地址:左營區博愛二路777號,
宏饼铺胡椒饼,地址:高雄市新兴区六合二路38号 ,+886-920761701
兴达港观光渔市,地址:茄萣区崎漏村大发路一带,
美浓客家菜,地址:高雄市前镇区一心二路118号 ,75355353
水源羊肉炉,地址:盐埕区七贤三路255号 ,5212590
泰国虾,地址:新兴区六合二路六合夜市 ,938221303
刘家酸白菜火锅,地址:左营区介寿路225号 ,5886855
厚德福餐馆,地址:苓雅区自强三路162号 ,2692912
铁男食堂,地址:鼓山区临海二路32-2号,
老四川巴蜀麻辣烫,地址:苓雅区中山二路422号 ,3351717
旗津斗六冰城,地址:中洲三路450号 ,5713850
宜家餐厅,地址:中华五路1201号（家乐福） ,7-5377688
茶义复兴法式奶茶,地址:高雄市鼓山区丽雄街48号 ,5518787
佛光一滴,地址:佛陀纪念馆抄经堂旁,
阿万意面,地址:三民区三民街184号,
北平杨宝宝蒸饺,地址:朝明路106号 ,3513322
虎次炸牛排專門店,地址:前鎮區中安路1-1號大道東1F之11 ,+886-7-7919588
和及鸟蛋铺,地址:新兴区六合夜市里,
天池冬瓜茶,地址:盐埕区新乐街113号 ,5517165
竹地小铺生鱼盖饭,地址:新兴区渤海街155号 ,2225826
冒烟的乔美式墨西哥餐厅,地址:左营区自由二路318号 ,5578655
鑫川鸳鸯奶茶,地址:鼓山區裕誠路1128號,
佛陀纪念馆内滴水坊,地址:大树区兴田村兴田路153号,
台北内湖来来豆浆,地址:三民区九如一路976号 ,3807448
老四川巴蜀麻辣烫,地址:高雄前金区中华三路23之6号 ,2218026
口福黑轮,地址:左营区立文路82号 ,5577676
成男生碗稞肉粽,地址:苓雅区成功一路169号 ,3335666
白玉甘蔗汁,地址:六合夜市内,
丹丹汉堡,地址:三民区沈阳街158号 ,07-315-7878
葳林爵阁 Winnie Drinker,地址:高雄市新兴区新田路288号 ,+886-2618311
林桑汤馅饼,地址:青年路二段滨山街,
小王牛肉麵,地址:高雄市新兴区六合一路94-1号 ,2360075
吴记广东粥棺材板,地址:高雄市新兴区六合二路57号 ,2882228
约翰碳烤三明治,地址:苓雅区光华二路400号 ,0936994056
阿亮香鸡排,地址:三民区吉林街144号 ,3223317
BEAST Bar&Grill 野獸美式餐廳,地址:高雄市前金區六合二路118-1號,
北平杨宝宝蒸饺,地址:楠梓区德贤路151-1号 ,3650136
新大港香肠,地址:三民区十全一路与孝顺街上 ,3222711
福记臭豆腐专卖店,地址:苓雅区五福三路117-7号 ,2419477
源记冰品,地址:新兴区自立二路158号 ,2852169
酒吞,地址:前金区仁德街238号 ,241-3722#20
金牌古早味红茶,地址:左营区南屏路、裕诚路口瑞丰夜市,
有间冰铺,地址:旗津区庙前路103巷4号1楼 ,5711630
千叶火锅,地址:三民区大昌二路197号 ,3985598
屯京拉面,地址:前金区成功一路266-1号,
新乐园热炒‧串烧,地址:新兴区五福二路47号1楼 ,2212829
大沟顶虱目鱼米粉,地址:新樂街198巷 盐埕第一公有市场对面小巷,
刘家酸白菜火锅,地址:兴邦里中华五路统一梦时代购物中心,
Dor留,地址:高雄市盐埕区堀江街11-2号 ,5215203
田山餐馆,地址:高雄市新兴区洛阳街67号 ,2368701
搭啵s重乳酪蛋糕,地址:自强一路49巷26号,
幕府專賣壽司,"地址:五福三路117號 Lingya District, 高雄市 802 Taiwan ",+886 7 2815599
WOO,地址:鼓山區青海路298號 ,075597998
菜包李小吃部,"地址:中国,高雄市,前金区河南二路137号,",
Aroma 自家烘焙咖啡,地址:前金区长生街25号 ,2410307
庆中街绿豆汤,地址:苓雅区光华一路67号 ,3345333
正义蚵仔面线,地址:正义路146号旁（正义市场正对面） ,7490126
MOS Burger,地址:苓雅区中正一路122号 ,7160246
御典茶,地址:高雄市鼓山区鼓元街42號 ,+886-5314757
六合张排骨酥汤,地址:新兴区六合二路25号,
进兴面线羹,地址:前金区自立一路41巷1号 ,2859186
涓豆腐,地址:高雄市前镇区中华五路789号7F(统一梦时代购物中心) ,8225188
美浓吴板条,地址:高雄市美浓区中山路一段20号,
吉利活海产,地址:高雄市三民区大顺二路226号 ,+886-7-8353080
宗记药炖排骨．当归鸭,地址:高雄市苓雅区光华二路430号 ,0989872708
八月堂,地址:左營區高鐵路123號B2,
品元糖口冷饮工坊,地址:左营区裕诚路157号 ,5562748
洪记蒸饺,地址:苓雅区忠孝二路118号 ,3331133
顾身体,地址:前金区七贤二路118号,
黄家粉圆,地址:三民区立德街1巷3号,
牛角次男坊,地址:左营区博爱二路777号B1,
廖家黑轮,地址:三民区三民街191号 ,2011020
海鲜铁板料理,地址:六合夜市后段,
源坐羊肉,地址:高雄市冈山区中华路1-2号 ,6266518
阿拉丁神灯餐厅,地址:新興區林森一路227號 ,+886-7-2360011
高雄空厨,地址:前镇区中华五路789号B1(高雄梦时代广场)A14 ,9733888
城市部落原住民餐厅,地址:左营区自由三路551-1号 ,3592777
高雄林皇宫森林百汇,地址:鼓山區博愛二路99號林 皇宮 內 一 樓,
星巴克,地址:苓雅区三多三路234号 ,3384586
海大王澎湖海鲜餐厅,地址:前金区自强二路17号,
枝仔冰城,地址:新兴区东海街2号 ,2261477
Mr.Wish,地址:高雄市苓雅區自強三路173號,
好好味冰火菠萝油,地址:高雄,
高雄牛乳大王,地址:高雄市左营区高铁路123号新光三越,
争鲜回转寿司,地址:高雄市三民区河东路356号 ,2722117
宽来顺早餐店,地址:左营区中华一路5-14号 ,5830408
老四川巴蜀麻辣烫,地址:鼓山区南屏路589号 ,5505000
寒轩大饭店-和平店,地址:苓雅区和平一路33号 ,7239911
Pasadena 帕莎蒂娜烘焙坊,地址:苓雅区和平一路146号 ,2235199
善变的包子,地址:鼓山區臨海二路8號（郵局對面）,
25togo store,地址:高雄市盐埕区大勇路4号 ,5213242
老牌过鱼汤,地址:新兴区六合二路78号,
正忠排骨饭,地址:高雄市三民区正忠路63号,
正忠排骨饭,地址:左营区左营大路58号之3 ,5831895
太和元气,地址:旗津区庙前路111号 ,0933-3163
池王臭豆腐、臭臭锅,地址:左营区南屏路、裕诚路口,
黑浮咖啡,地址:鼓山区美术东二路432号 ,5223238
海滨餐厅,地址:旗津区中洲二路68号之3 ,5713485
华喜爌肉饭,地址:台湾高雄市前鎮區瑞隆路469號 ,+886-7223233
阿鸿碳烤,地址:三民区嫩江街 71 号 ,3125027
野馔日式炭火烧肉,地址:新兴区七贤一路500号 ,2369922
老蔡牛肉面,地址:前金区自强二路31号 ,2726046
义大天悦饭店 义大百汇自助餐厅,地址:高雄市大树区三和村义大八街100号 ,6568200
胜博殿,地址:前金区五福三路57号B2F,
順億鮪魚專賣店,地址:高雄市同盟三路710號,
吴师傅鲁味,地址:临海一路83号,
étage15西餐厅,地址:新兴区林森一路165号15楼 ,2722013
老牌割包肉圆杨,地址:新兴区六合二路57号前 ,+886-28252593
三商巧福,地址:新兴区文横二路168号 ,2729379
牡丹园经典台湾料理,地址:新兴区黄海街196号 ,2271858
Ukai Tei Kaohsiung,地址:高雄晶英国际行馆2-3楼,
小本爱玉,地址:鼓山區蓬萊路99號B4,
台灣壽司郎,地址:806台湾高雄市前镇区中华五路789号梦时代蓝鲸馆6F,
牙齒打架海鮮燒烤啤酒屋,地址:高雄義大世界B區1樓 123露天廣場 （Family Mart前方）,
小西门炖肉饭,地址:盐埕区盐埕街43号 ,5612651
包手,地址:前金区中华四路332号,
柠檬爱玉冰,地址:高雄市新兴区六合二路89号前 ,2512569
雏菊松饼,地址:台湾高雄市左營區富國路292號 ,+886-75508265
人道國際酒店蓮香齋人道素菜,"地址:九如一路426號 Sanmin District, 高雄市 807 Taiwan ",+886 7 3861234
麻古茶坊,地址:裕诚路155号 ,5563188
台南担仔面,地址:中山一路六合夜市内,
woosa,地址:高雄市前鎮區中华五路789號3楼 ,+886-7-8213465
合乐屋日本料理,地址:高雄市前金区自强三路267号 ,2212198
吴记饼店,地址:苓雅区和平一路242号 ,2258721
大爷臭豆腐,地址:中山一路六合夜市,
柠檬香茅火锅专卖店,地址:高雄市苓雅区自强三路32号 ,5378528
大苑子茶饮,地址:苓雅区文横二路5号 ,3388900
正忠排骨饭,地址:鼓山区华荣路240之7号 ,5546111
郭家肉燥饭,地址:高雄市新兴区锦田路39号 ,2274373
藏寿司くら寿司,地址:高雄市左營區博愛二路777號（漢神巨蛋7樓）,
大碗公冰城,地址:高雄市三民区建工路605号 ,3928535
兴达港观光渔市炸海鲜,地址:茄萣区崎漏村兴达港观光渔市,
泰山汕头火锅,地址:苓雅区兴中ㄧ路373号 ,+886-3339214
寒轩大饭店-观海轩中餐厅,地址:高雄市苓雅区四维三路33号 ,+886-7-3322000
义郎创作寿司,地址:左营区富民路66号 ,5536149
新统一牛排馆,地址:盐埕区五褔四路31号 ,5511414
好德记香酥鸡,地址:左营区南屏路、裕诚路口,
晶绮盛宴,地址:前镇区中琴路8号,
路易莎咖啡,地址:804台湾高雄市鼓山區蓬萊路17號棧貳庫 ,+886-7-5310660
丽尊酒店-芙悦轩湘粤料理&港式饮茶,地址:五福一路105号3楼 ,2296030#3531
贝隆餐厅,地址:806台湾高雄市前鎮區成功二路39-1號,
咖啡覺醒,地址:高雄市左營區富國路91號,
哈玛星汕头面,地址:鼓山区鼓波街29-1号 ,5323228
枝仔冰城,地址:高雄市盐埕区大勇路82号 ,5211149
花月岚,地址:高雄市左营区高铁路123号,
大心新泰式麵食,地址:高雄新光三越B2层,
Cold Stone Creamery,地址:前镇区中华五路789号1楼 ,9703588
新国际西餐厅,地址:民生二路76号2楼 ,2618121
李家粽子,地址:高雄市三民区建国二路250号 ,2362722
元福北港香菇肉羹,地址:濱海一路88號 ,5314157
童乐岛亲子餐厅,地址:高雄市三民区文滨路45号,
丸龟制面,地址:三多新光三越B2,
陶板屋,地址:高雄市前镇区中华五路789号7楼,
洋城義大利餐廳,地址:前鎮區三多三路 ,7-073327078
窗口吐司,地址:高雄市新兴区七贤一路296号,
谈天楼小馆,地址:新兴区洛阳街5号 ,2371010
阿辉新鲜海产,地址:高雄市苓雅区六合二路74-3号 ,2877527
